sample_id,n_nodes,input_facts,closure_facts,rounds,matches,seconds,derived_down,oracle_agreement
611,26,37,197,5,15430,0.01947375899999315,7,1
612,26,37,182,5,14480,0.01851360599994223,1,1
613,26,40,231,5,17916,0.02437343800011149,16,1
614,26,44,264,6,27229,0.034845397000026423,22,1
615,26,38,184,5,15032,0.019180356000106258,2,1
616,28,43,283,6,32893,0.042731005999485205,13,1
617,28,43,257,6,31738,0.039278534000004584,10,1
618,28,44,265,6,32118,0.041211829000531,7,1
619,28,42,252,6,30839,0.03899662900039402,8,1
620,28,47,321,7,46684,0.05714841600001819,21,1
621,28,45,267,6,32971,0.0413919859993257,8,1
622,28,45,285,6,34333,0.04473011499976565,13,1
623,28,45,302,6,35877,0.048353618999499304,21,1
624,30,45,316,7,49175,0.06062073799967038,24,1
625,30,54,374,7,60276,0.07317742600025667,28,1
626,30,49,288,6,39180,0.05042990699985239,9,1
627,30,52,327,6,44442,0.05506819799938967,20,1
628,30,48,333,7,52598,0.06889946799947211,24,1
629,30,47,268,6,36272,0.04763170200021705,3,1
630,30,45,274,6,35224,0.04408767499990063,5,1
631,30,44,259,6,33323,0.04277136899963807,0,1
632,25,52,336,6,36371,0.047051053999894066,21,1
633,25,41,235,6,26086,0.03230124899982911,6,1
634,25,45,299,7,39692,0.05110958600016602,23,1
635,25,39,221,6,23648,0.02977960800035362,0,1
636,25,46,337,7,41438,0.05532744799984357,24,1
637,25,47,269,6,32256,0.0400194610001563,17,1
638,25,47,297,6,33420,0.04291562399976101,24,1
639,25,39,221,6,23648,0.03106545999980881,0,1
640,22,39,257,7,30422,0.03814386099929834,16,1
641,22,36,249,7,28174,0.0381891059996633,16,1
642,22,37,219,7,27150,0.03383224200024415,8,1
643,22,37,226,7,27990,0.03713111900015065,12,1
644,22,34,203,7,23797,0.03230643200004124,2,1
645,22,37,247,7,28342,0.037189034000221,14,1
646,22,36,220,7,25346,0.031758598999658716,3,1
647,22,33,199,7,22682,0.028736934000335168,0,1
648,20,28,138,5,7733,0.010206209000898525,0,1
649,20,30,182,6,13269,0.017387626000527234,17,1
650,20,28,138,5,7733,0.010196552999332198,0,1
651,20,33,163,5,10316,0.013526119000744075,10,1
652,20,35,190,6,15408,0.01981611500013969,18,1
653,20,30,170,6,12775,0.017360955999720318,14,1
654,20,29,144,5,8263,0.011014491999958409,2,1
655,20,32,191,6,13873,0.017939819000275747,16,1
656,23,37,203,5,16571,0.021239598000647675,4,1
657,23,38,246,6,25553,0.032513043000108155,19,1
658,23,35,233,6,22970,0.033873989999847254,18,1
659,23,36,224,5,17470,0.023216445000798558,12,1
660,23,39,239,6,25284,0.031813552000130585,16,1
661,23,38,269,6,25763,0.03257829300036974,20,1
662,23,37,199,5,16376,0.021190712000134226,3,1
663,23,41,266,5,20858,0.02692152800045733,19,1
664,29,50,267,6,34612,0.041961997000726114,13,1
665,29,44,236,6,28136,0.03522116499971162,1,1
666,29,44,233,6,28136,0.036355680000269786,1,1
667,29,45,235,6,29003,0.03543372600051953,2,1
668,29,49,313,7,45256,0.05718014000012772,24,1
669,29,49,281,7,43134,0.05359195599976374,16,1
670,29,44,233,6,28136,0.03447214699917822,1,1
671,29,50,328,6,38150,0.05268633800005773,27,1
672,28,57,363,6,43566,0.05622009799935768,26,1
673,28,49,263,6,33411,0.05315871099992364,6,1
674,28,46,271,6,31642,0.04189677400063374,8,1
675,28,47,284,6,33837,0.04503151599965349,16,1
676,28,45,246,6,29370,0.03960678800012829,0,1
677,28,45,246,6,29370,0.03924683800050843,0,1
678,28,47,292,6,34752,0.048776059000374516,19,1
679,28,46,248,6,30270,0.039776846000677324,1,1
680,26,43,230,6,24924,0.035819914000057906,16,1
681,26,45,207,5,18678,0.025011329000335536,6,1
682,26,42,211,5,17448,0.02323505100048351,6,1
683,26,44,220,5,18877,0.02527303200076858,9,1
684,26,47,226,6,27119,0.03727695599991421,14,1
685,26,44,210,5,18566,0.02531537999948341,8,1
686,26,51,300,6,32146,0.04802581599960831,26,1
687,26,47,233,6,27282,0.12178763700012496,16,1
688,23,41,184,4,11115,0.03409319699949265,10,1
689,23,40,173,5,14415,0.04166648099999293,5,1
690,23,41,181,4,10845,0.02833179199933511,7,1
691,23,41,211,5,17025,0.04092521399979887,19,1
692,23,39,171,4,9942,0.024783380999906512,4,1
693,23,40,225,5,17101,0.0398025360000247,21,1
694,23,43,221,5,17894,0.038726322000002256,20,1
695,23,38,163,4,9288,0.020104747000004863,1,1
696,24,33,133,4,6852,0.013624262000121234,0,1
697,24,37,180,4,9770,0.01742193599966413,17,1
698,24,39,191,5,14487,0.03405520200067258,20,1
699,24,45,234,5,17308,0.06148569500055601,24,1
700,24,40,202,5,15092,0.05522741899949324,22,1
701,24,33,133,4,6852,0.024650690000271425,0,1
702,24,35,138,4,7530,0.027854476000356954,2,1
703,24,34,139,4,7449,0.027594369999860646,3,1
704,20,34,201,6,16443,0.056450970999321726,19,1
705,20,30,141,5,9278,0.027713327999663306,2,1
706,20,28,136,5,8424,0.02359952900042117,0,1
707,20,30,140,5,9278,0.026778686999932688,2,1
708,20,31,180,6,14734,0.037304649999896355,18,1
709,20,29,138,5,8851,0.024039413000537024,1,1
710,20,38,193,5,13731,0.03313306099971669,16,1
711,20,35,205,6,17238,0.03588028300055157,19,1
712,22,34,152,5,9992,0.027794005000032485,3,1
713,22,33,177,5,10820,0.025726376000420714,15,1
714,22,35,182,5,11668,0.029093301999637333,17,1
715,22,33,153,5,9714,0.023855894000007538,3,1
716,22,35,168,6,14470,0.034505492999414855,9,1
717,22,34,151,5,9992,0.01889997900070739,3,1
718,22,32,185,6,14458,0.027145869999912975,19,1
719,22,40,221,6,18206,0.03999285900044924,20,1
720,25,45,259,6,24617,0.051386830000410555,25,1
721,25,40,205,6,20071,0.027418736000072386,16,1
722,25,45,218,6,23102,0.03130168100051378,19,1
723,25,41,179,5,14504,0.02130887499970413,5,1
724,25,41,193,5,15406,0.03257647200007341,12,1
725,25,43,196,5,16416,0.02780189000077371,13,1
726,25,41,210,5,16082,0.01929157100039447,16,1
727,25,40,193,5,14901,0.016740064999794413,11,1
728,22,37,216,6,20912,0.022423821999836946,19,1
729,22,35,200,7,22901,0.024802879999697325,12,1
730,22,39,238,7,27728,0.034498429000450415,20,1
731,22,38,219,6,21401,0.022986218000369263,19,1
732,22,40,231,7,26917,0.02616301200032467,16,1
733,22,36,175,6,17355,0.01719007799965766,2,1
734,22,39,233,6,21179,0.02451569799995923,14,1
735,22,38,189,6,19119,0.024514087000170548,6,1
736,22,36,160,4,8989,0.01030578800055082,9,1
737,22,33,175,5,11875,0.014669170000161103,11,1
738,22,30,137,4,6627,0.008897373999388947,0,1
