case,fault,method,test_normal,test_fault,f1_macro,balanced_accuracy,false_alarm_rate,fault_period_recall
re2ob_currencyservice_delay_3,delay,SingleCenter,144,721,0.9567696501590186,0.984743411927878,0.0,0.9694868238557559
re2ob_currencyservice_delay_3,delay,KMeans,144,721,0.9567696501590186,0.984743411927878,0.0,0.9694868238557559
re2ob_currencyservice_delay_3,delay,MaxDeviation,144,721,0.9567696501590186,0.984743411927878,0.0,0.9694868238557559
re2ob_currencyservice_disk_1,disk,SingleCenter,144,721,0.9738566802052409,0.9909847434119279,0.0,0.9819694868238558
re2ob_currencyservice_disk_1,disk,KMeans,144,721,0.9738566802052409,0.9909847434119279,0.0,0.9819694868238558
re2ob_currencyservice_disk_1,disk,MaxDeviation,144,721,0.9457952124326356,0.9805825242718447,0.0,0.9611650485436893
re2ob_currencyservice_disk_2,disk,SingleCenter,144,721,0.9719192312686664,0.9902912621359223,0.0,0.9805825242718447
re2ob_currencyservice_disk_2,disk,KMeans,144,721,0.9719192312686664,0.9902912621359223,0.0,0.9805825242718447
re2ob_currencyservice_disk_2,disk,MaxDeviation,144,721,0.9719192312686664,0.9902912621359223,0.0,0.9805825242718447
re2ob_currencyservice_disk_3,disk,SingleCenter,144,721,0.9133945948849942,0.907656225920789,0.1597222222222222,0.9750346740638003
re2ob_currencyservice_disk_3,disk,KMeans,144,721,0.9204085388295915,0.9180728925874557,0.1388888888888889,0.9750346740638003
re2ob_currencyservice_disk_3,disk,MaxDeviation,144,721,0.9227195568658983,0.9215451148096779,0.13194444444444445,0.9750346740638003
re2ob_currencyservice_loss_1,loss,SingleCenter,144,721,0.9180042972699696,0.8833362228386501,0.22916666666666666,0.9958391123439667
re2ob_currencyservice_loss_1,loss,KMeans,144,721,0.9234298374512189,0.9034808907381723,0.18055555555555555,0.9875173370319001
re2ob_currencyservice_loss_1,loss,MaxDeviation,144,721,0.9329498945801811,0.9041695561719834,0.1875,0.9958391123439667
re2ob_currencyservice_loss_2,loss,SingleCenter,144,721,0.9478500009275233,0.9652970411465558,0.041666666666666664,0.9722607489597781
re2ob_currencyservice_loss_2,loss,KMeans,144,721,0.9391895691950058,0.9514081522576668,0.06944444444444445,0.9722607489597781
re2ob_currencyservice_loss_2,loss,MaxDeviation,144,721,0.9605001187279668,0.986130374479889,0.0,0.9722607489597781
