sample_id,n_nodes,input_facts,closure_facts,rounds,matches,seconds,derived_down,oracle_agreement
43,12,12,58,4,1673,0.00272186900019733,0,1
44,12,13,70,4,1920,0.0028501729993877234,2,1
45,12,13,63,4,1920,0.002838291999978537,2,1
46,12,13,71,4,1977,0.0031947489997037337,3,1
47,12,13,71,4,1977,0.0029048469996268977,3,1
48,13,13,78,5,3706,0.005228578999776801,2,1
49,13,11,70,4,2252,0.0035309019995111157,0,1
50,13,11,70,4,2252,0.0034401120001348318,0,1
51,13,13,80,5,3726,0.005348425000192947,2,1
52,13,12,73,4,2466,0.00365630099986447,1,1
53,13,11,70,4,2252,0.0033129240000562277,0,1
54,13,16,99,5,4658,0.006288876999860804,5,1
55,13,17,93,5,4872,0.008175005000339297,6,1
56,18,17,105,4,5025,0.007555250000223168,1,1
57,18,17,105,4,5025,0.00815254300050583,1,1
58,18,19,111,4,5661,0.008000018000529963,3,1
59,18,17,103,4,5025,0.00787859199954255,1,1
60,18,17,105,4,5025,0.006968715999391861,1,1
61,18,20,161,5,9890,0.013131531999533763,13,1
62,18,18,157,6,11589,0.016083857000012358,13,1
63,18,18,108,4,5343,0.00712890700015123,2,1
64,18,19,137,5,8634,0.01146559700009675,2,1
65,18,19,133,6,11120,0.014623106000726693,2,1
66,18,20,135,6,11696,0.02227187800053798,3,1
67,18,18,118,5,8149,0.011481483000352455,1,1
68,18,17,116,5,7694,0.009994476999963808,0,1
69,18,18,118,5,8149,0.010991374999321124,1,1
70,18,23,174,5,11460,0.014671980999992229,10,1
71,18,17,116,5,7694,0.010202130999459769,0,1
72,18,17,107,5,6538,0.009528360999865981,1,1
73,18,16,103,5,6132,0.0088091430006898,0,1
74,18,18,109,5,6944,0.011431066000113788,2,1
75,18,18,129,6,8961,0.013115766000737494,2,1
76,18,24,166,5,10913,0.014374076999956742,14,1
77,18,20,143,5,7988,0.011049759000343329,5,1
78,18,16,103,5,6132,0.008927941999900213,0,1
79,18,20,131,5,8286,0.010793355999339838,7,1
80,18,22,147,6,9905,0.013197343000683759,12,1
81,18,26,139,6,10516,0.01414702199963358,9,1
82,18,25,150,6,10705,0.015124475999982678,11,1
83,18,22,108,6,8248,0.01132379199952993,3,1
84,18,19,100,6,6895,0.00908570100000361,0,1
85,18,22,123,6,8636,0.011464186000011978,5,1
86,18,20,103,6,7340,0.010025484999459877,1,1
87,18,22,108,6,8230,0.010695320000195352,3,1
88,17,17,140,6,10285,0.013729353999224259,3,1
89,17,20,160,6,12061,0.017070941999918432,6,1
90,17,15,121,6,8976,0.012104740999347996,0,1
91,17,18,148,6,10686,0.024335680000149296,3,1
92,17,20,168,6,12021,0.01834307900026033,6,1
93,17,15,121,6,8976,0.012182290999589895,0,1
94,17,15,121,6,8976,0.012235449000399967,0,1
95,17,17,127,6,10080,0.014131865000308608,2,1
96,18,16,109,5,6152,0.008241006000389461,0,1
97,18,21,151,6,11222,0.015113768999981403,7,1
98,18,17,112,5,6552,0.008662934000312816,1,1
99,18,16,109,5,6152,0.008198762999199971,0,1
100,18,22,188,6,13312,0.017238712000107625,18,1
101,18,17,122,6,8595,0.012108176999390707,1,1
102,18,21,124,5,8152,0.01151776599999721,5,1
103,18,18,124,6,9113,0.012945005000801757,2,1
104,15,18,119,6,7754,0.010299336999196385,6,1
105,15,15,91,5,4817,0.007839187000172387,2,1
106,15,15,95,5,4817,0.007464724999408645,2,1
107,15,13,83,5,4161,0.006352028000037535,0,1
108,15,19,124,6,8536,0.011287346999779402,9,1
109,15,19,136,6,8384,0.019414673999563092,8,1
110,15,17,122,5,5849,0.008187782999812043,6,1
111,15,15,93,5,4827,0.006926355000359763,2,1
112,13,13,76,5,3044,0.004651784999623487,2,1
113,13,14,84,5,3407,0.005251132999546826,4,1
114,13,13,76,5,3044,0.0046379049999814015,2,1
115,13,12,65,4,2009,0.0031339119996118825,1,1
116,13,13,87,5,3164,0.004828852999708033,3,1
117,13,11,63,4,1822,0.003084858999500284,0,1
118,13,12,72,5,2781,0.00430437900013203,1,1
119,13,11,63,4,1822,0.0028752809994330164,0,1
120,17,18,101,5,6015,0.008329539999976987,2,1
121,17,16,93,5,5261,0.007227498999782256,0,1
122,17,18,116,5,6025,0.008494344999235182,2,1
123,17,19,108,5,6392,0.009635409999646072,3,1
124,17,18,99,5,6005,0.008429665000221576,2,1
125,17,18,102,5,6161,0.008714568000868894,3,1
126,17,18,104,5,6005,0.00926197199987655,2,1
127,17,16,93,5,5261,0.007105342000613746,0,1
